曜日-時間, 教科, 場所, 担当教員 
Mon-1, ドイツ語ⅡA/中国語ⅠA, 講4|講5/階段教室, (大山)|柴田/(儲)
Mon-2, ドイツ語ⅡA/中国語ⅠA, 講4|講5/階段教室, (大山)|柴田/(儲)
Mon-3, 応用物理実験, 物理実験室, 福地・嘉数
Mon-4, 応用物理実験, 物理実験室, 福地・嘉数
Mon-5, 応用数学C, 階段教室, 平井
Mon-6, 応用数学C, 階段教室, 平井
Mon-7, 情報処理Ⅰ, ネットワーク, 大橋
Mon-8, 情報処理Ⅰ, ネットワーク, 大橋
Tue-1, 応用数学A, 多目的室A・B, 山下
Tue-2, 応用数学A, 多目的室A・B, 山下
Tue-3, 課題学習時間, /, /
Tue-4, 課題学習時間, /, /
Tue-5, 哲学A/経済学A/社会学A, 講4/講1/マAB, 小谷/武長/(高石)
Tue-6, 哲学A/経済学A/社会学A, 講4/講1/マAB, 小谷/武長/(高石)
Wed-1, 英語演習ⅠA/英会話ⅠA, /, /
Wed-2, 英語演習ⅠA/英会話ⅠA, /, /
Wed-3, 電磁気学Ⅳ, 教室, 坂元
Wed-4, 電磁気学Ⅳ, 教室, 坂元
Wed-5, 電子回路Ⅰ, 教室, 泉
Wed-6, 電子回路Ⅰ, 教室, 泉
Wed-7, 課題学習時間, /, /
Wed-8, 課題学習時間, /, /
Thr-1, 体育Ⅱ, ?, (佐々木)
Thr-2, 体育Ⅱ, ?, (佐々木)
Thr-3, 実験実習Ⅴ, D実験室, 坂元・大橋・泉・D岡本
Thr-4, 実験実習Ⅴ, D実験室, 坂元・大橋・泉・D岡本
Thr-5, 実験実習Ⅴ, D実験室, 坂元・大橋・泉・D岡本
Thr-6, 実験実習Ⅴ, D実験室, 坂元・大橋・泉・D岡本
Fri-1, 電子工学Ⅲ, 教室, D鈴木
Fri-2, 電子工学Ⅲ, 教室, D鈴木
Fri-3, 制御工学Ⅰ, 教室, D岡本
Fri-4, 制御工学Ⅰ, 教室, D岡本
Fri-5, 材料力学Ⅰ, 教室, 奥山
Fri-6, 材料力学Ⅰ, 教室, 奥山
Fri-7, 課題学習時間, /, /
Fri-8, 課題学習時間, /, /
